職缺內容,公司名稱,內容,地址,薪資,網址
UI/UX Designer,創順科技有限公司,"工作職責：

基本個人特質要求
* 能夠與人協作溝通，並且有條理的闡述設計思維，能夠包容各種反饋。
* 對於迭代出產品設計有其方法和彈性，能夠視產品規模大小及開發時程規劃合理的設計方向，不限於自行設計或是開源的設計規範。
* 具備熱情持續完善改進產品的設計品質與使用體驗，提升各產品在用戶體驗上的競爭力。

UIUX
* 能夠熟稔的透過 Wireframe 、Mockup 等方式溝通設計理念
* 能夠針對互聯網產品用戶市場定位出合理的視覺方向
* 能夠有系統的制定產品設計Guideline，並迭代設計出產品相關延伸設計 UI 頁面
* 能夠合理分析產品數據，並作出合理的互聯網產品用戶體驗優化


任職要求:
* 有實際互聯網產品設計經驗，不限於 Web 或 App。
* 對於團隊設計協作工具 Figma 具備基礎以上的知識水平
* 思維開放，對設計趨勢敏感。

加分項
*熟悉 Material Design、Element UI 等等開源設計規範
",台北市內湖區,"月薪50,000~80,000元",//www.104.com.tw/job/5qe6w?jobsource=hotjob_chr
電動自行車雲端應用工程師,光聯輕電股份有限公司,"1. 電動自行車「網路/雲端應用/生產測試/售服」等軟體開發、維護、或委外開發。
2. 將 雲端運算、物聯網、等技術應用於電動自行車之 PC, Smartphone, Web-based 等「研發、產測、診斷、客服」 各層面應用
3. 熟悉 JavaScript, Python, IoT, APP(Android, iOS), 或具 Cloud Computing, 雲端平台(AWS/Azure) Serverless, 藍牙(Nordic Bluetooth), BLE 等專案經驗者優先 
** 本職務需：程式設計開發經驗
** 須能騎乘(電動)自行車，自行車愛好者優先考慮。
** 有車用電子、電動車、電動機車、電動自行車、電動輔助自行車、綠能產業等開發經驗者尤佳。",新北市土城區,"月薪30,000~70,000元",//www.104.com.tw/job/7al1r?jobsource=hotjob_chr
【建設】資訊企劃副理/科長,遠雄建設事業股份有限公司,"1. 熟悉SQL、Python、R、SPSS工具。 
2. 具備統計分析能力，包括熟悉Multivariable calculus與Linear algebra。 
3. 熟悉Machine Learning，包含KNN、SVM、Clustering、Bayesian Networks、 Ensemble...。 
4. 具備Data Visualization & communication能力。 
5. 熟悉資料庫管理，包含備份、還原、優化、權限等。 
6. 數據研究報告撰寫及進行統計與分析，開發資料視覺化圖表。
7. 對學習新技術具有熱情，具備良好的溝通及團隊合作能力。 
8. 熟悉AWS、Azure、GCP等雲端平台及相關項目。 
9. 具備3年以上資料分析相關工作經驗。",台北市信義區,待遇面議,//www.104.com.tw/job/7cqxc?jobsource=hotjob_chr
【軟體】Data Scientist 數據分析師,香港商聲吶天空資訊顧問有限公司,"(1) 大學及以上學歷，Solid expertise in statistics and data analytics, and familar with Python visualization/Tableau or similar tools
(2) 熟悉數據庫SQL語法經驗及軟件架構優化經驗者優先
(3) 有手機業務分析優先考慮
(4) 獨立學習能力，團隊合作溝通能力、有上進心，責任感強，能快速融入團隊，共同學習，共同進步",台北市南港區,待遇面議,//www.104.com.tw/job/7ajry?jobsource=hotjob_chr
電動自行車產測軟體工程師,光聯輕電股份有限公司,"1. 電動自行車「網路/生產測試/售服」等軟體開發、維護、或委外開發。
2. 將 雲端運算、物聯網、等技術應用於電動自行車之「研發、產測、診斷、客服」 等各層面應用 (含PC, Smartphone, Web-based)
3. 熟悉 Visual Studio(C#), JavaScript, Python, IoT, APP(Android, iOS), 或具 Cloud Computing, 雲端平台(AWS/Azure) Serverless 等專案經驗者優先 
** 本職務需：程式設計開發經驗
** 須能騎乘(電動)自行車，自行車愛好者優先考慮。
** 有車用電子、電動車、電動機車、電動自行車、電動輔助自行車、綠能產業等開發經驗者尤佳。",新北市土城區,"月薪30,000~70,000元",//www.104.com.tw/job/7chgf?jobsource=hotjob_chr
資深後端⼯程師 / Senior Backend Engineer,恒遠科技有限公司,"★應徵投遞請連結至：https://hengyuan.teamdoor.io/s/hPiAnHmM


⼯作職責：
1.負責PC及移動端H5產品的設計與開發
2.參與需求分析，後端技術類型和⽅案評審及核⼼程式實現

條件要求：
1.至少有5年以上後端開發經驗
2.良好的設計和程式習慣，扎實的後端技術基礎
3.至少精通一項開發程式語言及相應框架，例如：Java、Golang、PHP、Python
4.有使用redis和nginx的實務經驗
5.至少有參與過一項app開發經驗
",台北市大安區,"月薪90,000元以上",//www.104.com.tw/job/7cgky?jobsource=hotjob_chr
軟體技術主管,恒遠科技有限公司,"★應徵投遞請連結至：https://hengyuan.teamdoor.io/s/wg4Eek0l


此職位前期開發佔80%+管理20%，後期比重為開發佔60%+管理40%。

⼯作職責： 
1.帶領技術團隊進⾏專案開發⼯作 
2.保證開發進度、服務穩定以及團隊協作 
3.提前規劃技術⽅案、安全⽅案以及技術調研 
4.保證技術團隊的⼯作效率以及員⼯的⼯作狀態 
5.組織技術會議、code review以及其他交流會議 

條件要求：
1.至少有6年以上開發經驗，⾼超的技術開發能⼒，至少精通一項開發程式語言及相應框架(Java、Golang、PHP、Python）。
2.良好的技術思維，對於專案全域性、進展度有良好的判斷與把控能⼒ 
3.至少有⼀個專案的Leader經驗，對於團隊管理有⼀定經驗 
4.有責任意識，能夠帶領團隊攻艱困難，也能夠⽤⼾承擔責任
5.有百萬日活產品開發經驗是加分項
6.熟悉redis和nginx，有一定的運維經驗是加分項
7.至少有參與過一項app開發經驗",台北市大安區,待遇面議,//www.104.com.tw/job/7be63?jobsource=hotjob_chr
Python Backend Developer,台灣恩悌悌數據股份有限公司,"1.進行Python後端程式開發/維護
2.撰寫SA/SD文件
3.視專案需求，協助參與專案執行
",台北市中正區,待遇面議,//www.104.com.tw/job/73gvl?jobsource=jolist_c_relevance
Senior Web Developer (Python),仰得股份有限公司,"1. 三年以上 Python 開發經驗

2. 熟悉 MVP 網頁開發，基本 Django 開發經驗

3. OOP 程式開發

4. 熟悉雲端架構 AWS & GCP

5. 熟悉雲端資料庫應用（NoSQL）

6. 團隊合作開發經驗（Git-",台北市松山區,"月薪75,000~95,000元",//www.104.com.tw/job/79ynk?jobsource=jolist_c_relevance
Python 軟體工程師 Python Software Engineer,百睿達有限公司,"的手搖飲文化推廣到全世界，晉身全球知名的飲品服務公司。

團隊擁有堅強的技術實力以及創新產品開發經驗，並將矽谷經驗傳承。身為Python軟體工程師，您將會協助智慧自動化設備的生產作業協助，從prototype到產品正式開模量產，在這裏您會看到矽谷一",台北市中正區,"月薪60,000~80,000元",//www.104.com.tw/job/7b5pb?jobsource=jolist_c_relevance
