職缺內容,公司名稱,內容,地址,薪資,網址
System Engineer 系統工程師,希格斯資訊科技有限公司,"負責公司各項系統之規劃與建置、管理及維護。

工作內容 ： 
1. 解決方案研究與導入、專案管理。
2. 進行系統監控與告警處理(重大障礙事件排除)。  
4. 協助 RD 部門，提供相關的系統操作與技術支援。 
5. 對突發狀況的緊急應變處理並提出 RCA Report。 
6. 伺服器及網路設備安裝、設定、管理及維護等。 
7. 定期的報告、報表製作與事件紀錄。 
8. 其他主管交辦事項
",新北市新店區,待遇面議,//www.104.com.tw/job/6hsh8?jobsource=hotjob_chr
"Software Engineer, D&T","West Pharmaceutical Services Asia, Ltd_西氏亞洲有限公司","Job Summary:
In this role, as a software engineer/IoT Solution developer, you will design, develop, document, test, maintain, and enhance highly available, distributed, scalable and secure Internet of Things applications in Factory Automation, Digital Manufacturing Orchestration, Digital Health Products, and other team initiatives. You will be exposed to the modern IoT technologies in device connectivity, data security, application scalability, data storage, database, AI/ML, data analytics, application design/implementation at the job and will have the opportunity to advance your technical skills in these areas. 

West is a global company with over 50+ locations world-wide. Our software development centers in Taiwan have a highly agile culture and we are proud of what we build. Our IoT applications range from industrial automation to medical applications. 

Essential Duties and Responsibilities:
•      Work with internal stakeholders to understand business needs and translate them to technical designs and implementation
• Create prototype solutions that explore innovative ideas
• Execute full lifecycle software development
• Write well-designed, self-documented, testable, performant, secure, and efficient code
• Research emerging technologies to create and maintain competitive advantage
• Contribute to the continued improvement of standards, tooling, and processes
• Participate in cross-team technical discussions
• Participate in daily standup meetings
• Participate in code reviews
• Other duties as assigned

Basic Qualifications:
Education: Bachelor’s degree in Computer Science, Engineering, or equivalent preferred
Experience: Minimum 3 years related work experience
Programming:  (At least one of the two below)
Backend Engineer: 
• Experience in Node.js
• Any following knowledge is great asset: Python, C#, Java, Erlang/Elixir, Golang or other modern language
• Restful API
• Relational Database (SQL and Schema Design)
• Any non-SQL DB is great asset
Frontend Engineer: 
• JavaScript and experience in Vue.js and CSS
• Restful API
Infrastructure: Knowledge and experience in modern computer system architecture, cloud technology, and databases
Language: Fluent in Mandarin and English in reading, writing, and speaking
Possess a strong level of curiosity, interest, and eagerness to learn new technologies quickly

Preferred Knowledge, Skills and Abilities:
• Knowledge and experience in modern computer system architecture, cloud technology, and databases
• Experience in agile development practices
• Experience in IoT technologies
• In depth experience with IoT application design and implementation
• Experience in IoT device connectivity
• Experience in development concepts such as multi-threading and concurrency
• Ability to work in a global and virtual environment
• Ability to work in a fast-paced environment; utilize sound judgment with an ability to manage multiple priorities with a sense of urgency.

Travel Requirements:
• 10% travel, including global
",台中市西屯區,待遇面議,//www.104.com.tw/job/76hns?jobsource=hotjob_chr
T3111 friDay 影音 Data Engineer,遠傳電信股份有限公司,"Focus on Video and Game streaming services in Telecom / Mobile Internet industry technology.
Responsibility:
1.Data collection and ETL development for Biz operation report 
2.Use analytical techniques and machine learning model to do prediction 
3.Research and evaluate machine learning and statistical models
4.Deliver quality solutions as libraries and microservices
5.Mastering new technologies
6.Process & ISO compliance",台北市內湖區,待遇面議,//www.104.com.tw/job/71n26?jobsource=hotjob_chr
Software QA engineer (手動測試工程師 / 自動化測試工程師),希格斯資訊科技有限公司,"1. 撰寫測試列表：依產品功能與文件，撰寫測試項目列
2. 產品系統測試：進行系統、功能、介面與相容性測試 
3. 產品數值測試：進行前端顯示與後端數值相關串連測試 
4. 產品平衡建議：適時提出有效且有利於產品的優化建議意見
5. QA工作經驗三年以上，具備網際網路產品測試經驗
6. 負責產品的測試，制定測試計畫，有效保證產品線品質
7. 分析性能測試、測試資料、釐清問題、提出改善建議並撰寫測試報告
8. 提供測試報告和建議以保障產品可測性和架構合理性",新北市新店區,待遇面議,//www.104.com.tw/job/67pbg?jobsource=hotjob_chr
Senior Software Developer in Test (SDIT),AVAST Software (Asia) Limited_香港商愛維士有限公司台灣分公司,"We are looking for a Senior Software Developer in Test (SDIT) to join our talented engineering team to help us build world-class powerful Android products that are used by tens of millions of end customers.

SDIT is a software development role with solid programming skills focusing on assuring the quality of our products as well as performing tests assisting each phase of product development.  It’s rather a role in a product development team than a job in a dedicated quality control department.  The SDIT participates in all decisions made by the product development team.
 
We expect innovative approaches and enthusiasm to continuously learn new technologies.  We are expecting innovation and the ability to bring new perspectives, ideas, and experiences from an ideal candidate.


Job description:
1. Quality assurance for the products developed by the product teams.  
● Author automated software test applications.
● Design and implement new automation frameworks and help improve existing ones
● Design and develop test strategies and test cases (including functional, stress, regression, and acceptance tests)
● Test (manually and/or automatically) the products on multiple platforms (, especially on Android), and report the bugs to ensure the quality of products for customer usability.  Debug automated tests.
● Verify the issues reported by the customers or partners.
● Perform tests assisting the product teams to locate the root causes of issues and debug them.
● Participate in feature specification reviews.
● Proactively question everything looking for testing efficiency gains. 
● Provide guidance on what should be automated.

2. Assistance with tests for the business development phase of partner projects
● Perform the tests and/or measurements of the products for specific functionality/performance information (effectiveness, throughput, RAM/ROM consumption, response time, latency, etc) demanded by partner’s evaluations or specific marketing/promotion materials 
● Perform the benchmark tests of Avast’s products against competitors’ products for the partner’s evaluations or specific marketing/promotion materials 


We are offering:
● Pleasant working environment with power-adjustable height desks, ergonomic chairs, dual monitors, and recreation facilities.
● 15 days of paid holiday
● Many opportunities for professional growth (language courses, training, etc)
● Amazing and truly international work environment 

",台北市信義區,待遇面議,//www.104.com.tw/job/78djv?jobsource=hotjob_chr
Python工程師,達暉資訊有限公司," Django MTV 框架, Python ORM (Django ORM, SQLAlchemy)
※ 熟悉 Docker 建立及管理專案
※ 開發過 API 系統

▍加分條件：
※ 熟悉 Docker Compose
※ 熟悉 Kafka 消息系",台北市信義區,"月薪40,000~70,000元",//www.104.com.tw/job/71kjg?jobsource=jolist_c_relevance
Python Web Developer,StreetVoice _街聲股份有限公司,"開發派歌網站系統，主要針對音樂人以及業務管理端的使用者介面、流程進行開發及修改，持續優化。工作上使用 Python / Django 以及 jQuery。 除了上述開發以外，其他工作內容如下:

能力需求：

需求及功能分析
與其他同事互相進行",台北市松山區,"月薪40,000~60,000元",//www.104.com.tw/job/7982k?jobsource=jolist_c_relevance
Senior Web Developer (Python),仰得股份有限公司,"職務需求：
1. 三年以上 Python 開發經驗
2. 熟悉 MVP 網頁開發，基本 Django 開發經驗
3. OOP 程式開發
4. 熟悉雲端架構 AWS & GCP
5. 熟悉雲端資料庫應用（NoSQL）
6. 團隊合作開發",台北市松山區,"月薪75,000~95,000元",//www.104.com.tw/job/79ynk?jobsource=jolist_c_relevance
Web Developer (Python),仰得股份有限公司,"職務需求：
1. 一年以上 Python 開發經驗
2. 理解基本 HTTP / RESTful API 架構
3. 基本資料庫開發概念
4. 協助開發設計後端系統
5. 獨立作業與執行能力
6. 態度積極，認真負責，良好的溝通及問題",台北市松山區,"月薪55,000~75,000元",//www.104.com.tw/job/79ynl?jobsource=jolist_c_relevance
Python Engineer,瞬聯科技股份有限公司,"Responsibilities & Qualifications:
* Solid Python program experience including object oriented programming
* Familiar with",台北市大安區,待遇面議,//www.104.com.tw/job/7aboj?jobsource=jolist_c_relevance
